Timestamp,Volt RMS,Current RMS,Real Power,PF,RAW PACKET
1970-01-01 02:38:31.215000,216.6,0.35,4.0,0.96,"{""SeqId"":672,""TimeStamp"":2311215,""TypeId"":3,""RmsVoltage"":216.6,""RmsCurrent"":0.35,""Temp"":66.34,""RealPower"":4,""NettEnergy"":2099.34,""PowerFactor"":0.96,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:39:32.245000,215.7,0.31,3.9,0.92,"{""SeqId"":673,""TimeStamp"":2372245,""TypeId"":3,""RmsVoltage"":215.7,""RmsCurrent"":0.31,""Temp"":64.73,""RealPower"":3.9,""NettEnergy"":2099.39,""PowerFactor"":0.92,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:40:33.265000,215.1,0.05,4.0,0.9,"{""SeqId"":674,""TimeStamp"":2433265,""TypeId"":3,""RmsVoltage"":215.1,""RmsCurrent"":0.05,""Temp"":66.02,""RealPower"":4,""NettEnergy"":2099.43,""PowerFactor"":0.9,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:41:34.305000,215.7,0.35,4.1,0.96,"{""SeqId"":676,""TimeStamp"":2494305,""TypeId"":3,""RmsVoltage"":215.7,""RmsCurrent"":0.35,""Temp"":66.66,""RealPower"":4.1,""NettEnergy"":2099.47,""PowerFactor"":0.96,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:41:55.405000,216.2,0.0,0.0,0.0,"{""SeqId"":677,""TimeStamp"":2515405,""TypeId"":3,""RmsVoltage"":216.2,""RmsCurrent"":0,""Temp"":68.59,""RealPower"":0,""NettEnergy"":2099.49,""PowerFactor"":0,""DevId"":""3544636462618433996"",""RelayStatus"":0,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:42:35.445000,217.9,0.0,0.0,0.0,"{""SeqId"":679,""TimeStamp"":2555445,""TypeId"":3,""RmsVoltage"":217.9,""RmsCurrent"":0,""Temp"":66.02,""RealPower"":0,""NettEnergy"":2099.49,""PowerFactor"":0,""DevId"":""3544636462618433996"",""RelayStatus"":0,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:42:46.505000,217.8,0.36,76.8,0.9,"{""SeqId"":681,""TimeStamp"":2566505,""TypeId"":3,""RmsVoltage"":217.8,""RmsCurrent"":0.36,""Temp"":66.34,""RealPower"":76.8,""NettEnergy"":2099.49,""PowerFactor"":0.9,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:43:36.575000,216.1,0.04,3.9,0.96,"{""SeqId"":682,""TimeStamp"":2616575,""TypeId"":3,""RmsVoltage"":216.1,""RmsCurrent"":0.04,""Temp"":66.98,""RealPower"":3.9,""NettEnergy"":2099.55,""PowerFactor"":0.96,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:44:37.615000,216.6,0.29,74.9,0.96,"{""SeqId"":684,""TimeStamp"":2677615,""TypeId"":3,""RmsVoltage"":216.6,""RmsCurrent"":0.29,""Temp"":66.66,""RealPower"":74.9,""NettEnergy"":2099.57,""PowerFactor"":0.96,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:45:38.635000,216.1,0.35,26.7,0.96,"{""SeqId"":685,""TimeStamp"":2738635,""TypeId"":3,""RmsVoltage"":216.1,""RmsCurrent"":0.35,""Temp"":68.92,""RealPower"":26.7,""NettEnergy"":2099.59,""PowerFactor"":0.96,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
1970-01-01 02:46:39.655000,215.5,0.3,3.9,0.96,"{""SeqId"":686,""TimeStamp"":2799655,""TypeId"":3,""RmsVoltage"":215.5,""RmsCurrent"":0.3,""Temp"":65.05,""RealPower"":3.9,""NettEnergy"":2099.61,""PowerFactor"":0.96,""DevId"":""3544636462618433996"",""RelayStatus"":1,""Alarm"":""0"",""Placeholder"":0,""Rssi"":-87}"
